WeatherLocationID,LocationDescription
09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,Location A
4360211F-C7BD-4CC1-BB16-E17074409130,Location B
4C640EC5-A72F-403B-90C4-F02FA4F10803,Location C
550A9D76-DDE2-42E9-A09B-AD379D44A9C3,Location D
73A1A160-7670-4F16-9C49-19CA2D35B913,Location E
A20CC99A-98C3-4E8F-9905-6BD83B83EA48,Location F
A4924DF7-8154-4619-8F6A-CA76A039A012,Location G
A7FD485C-0D02-43D7-AD52-AD5E337E55C5,Location H
BB66CAEB-1096-49C4-B8EA-B32E93797613,Location J
BD49F928-763A-493B-B0E0-4717B7656A52,Location K
C8655B27-A850-46E8-AB4F-F68E5803E635,Location M
E68FEA3A-29B3-4586-B8AF-86F785A08410,Location P
F33D74CF-62C5-420E-A4E0-80370C789752,Location R
FC69EB42-658D-4844-81D9-19CB22AB7969,Location T
