USDAInspectionNumber,StoredCropID,PlantedCropID,StorageBinID,isEstimated,PercentOfHarvestedYield,PercentBruiseFree,PercentSixOz,PercentSoftRot,PercentTenOz,PercentUndersize,PercentUnusable,PercentUSDA1,SpecificGravity,PercentHollow,PercentInternalDiscolored,PercentMechanicalDamaged,PercentPinkEye,PercentPitScab
4028,76411166-C5A6-440D-B16B-CCDC1A926841,F0B8092D-043F-47D9-8971-69B44F8B246E,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.160508673,,0.57,0.009,0.121,0.035,0.017,,1.0822,0,0,0.003,0,0.003
4029,2E176610-EBA5-4C10-AF3C-6ADC90061A0E,009591A3-91E9-409A-A6CE-4E74D0602713,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.222337429,,0.614,0.01,0.168,0.031,0.067,,1.074,0.027,0.01,0.004,0,0.004
4030,2E176610-EBA5-4C10-AF3C-6ADC90061A0E,009591A3-91E9-409A-A6CE-4E74D0602713,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.109408013,,0.607,0.009,0.18,0.031,0.088,,1.0778,0.052,0.01,0.008,0,0.001
4030001,2E176610-EBA5-4C10-AF3C-6ADC90061A0E,009591A3-91E9-409A-A6CE-4E74D0602713,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.103907452,,0.607,0.009,0.18,0.031,0.088,,1.0778,0.052,0.01,0.008,0,0.001
4031,76411166-C5A6-440D-B16B-CCDC1A926841,F0B8092D-043F-47D9-8971-69B44F8B246E,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.042917009,,0.587,0.009,0.13,0.036,0.018,,1.0851,0.001,0,0.006,0,0.002
4031001,76411166-C5A6-440D-B16B-CCDC1A926841,F0B8092D-043F-47D9-8971-69B44F8B246E,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.042848191,,0.587,0.009,0.13,0.036,0.018,,1.0851,0.001,0,0.006,0,0.002
4031002,76411166-C5A6-440D-B16B-CCDC1A926841,F0B8092D-043F-47D9-8971-69B44F8B246E,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.05005596,,0.587,0.009,0.13,0.036,0.018,,1.0851,0.001,0,0.006,0,0.002
4033,2E176610-EBA5-4C10-AF3C-6ADC90061A0E,009591A3-91E9-409A-A6CE-4E74D0602713,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.144419882,,0.67,0.009,0.239,0.021,0.081,,1.0806,0.044,0.011,0.003,0,0.002
4033001,2E176610-EBA5-4C10-AF3C-6ADC90061A0E,009591A3-91E9-409A-A6CE-4E74D0602713,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.145486084,,0.67,0.009,0.239,0.021,0.081,,1.0806,0.044,0.011,0.003,0,0.002
4034,73CFC28E-70CF-42C9-8807-A7C8ABBB6254,F19C02E0-DE09-473A-A2EE-198BED7C463C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.102767658,,0.812,0.009,0.385,0.007,0.011,,1.089,0,0,0,0,0
4035,2E176610-EBA5-4C10-AF3C-6ADC90061A0E,009591A3-91E9-409A-A6CE-4E74D0602713,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.072827816,,0.659,0.009,0.271,0.023,0.098,,1.0762,0.058,0.016,0,0,0.002
4031005,76411166-C5A6-440D-B16B-CCDC1A926841,F0B8092D-043F-47D9-8971-69B44F8B246E,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.020402693,,0.587,0.009,0.13,0.036,0.018,,1.0851,0.001,0,0.006,0,0.002
