PlantedCropID,CanopyDate,CanopyPercent
1521CCCE-AF40-49DC-82FF-0A1A6EFFC9D2,6/15/2023,0.58
61CDC4C0-1986-4870-95CD-36B879D07211,8/12/2021,0.963
AAE75F40-57F9-4601-B586-3F751DD695D0,7/19/2022,0.969
CEF2CACC-9D1D-4E2B-8546-526D3DEA9C6D,7/5/2021,0.989
91D6209E-8F64-491C-9A5D-5FFB8CE412EF,6/20/2023,0.605
55CAA74B-98D2-4A60-9D1A-A7248B9F0C1B,6/16/2023,0.1
55CAA74B-98D2-4A60-9D1A-A7248B9F0C1B,8/3/2023,0.993
6C6913EF-45C4-4B20-A8C1-BC98F10B3DD6,6/5/2023,0.173
AD65A2A8-941B-48C2-A042-CC09D6B62FBE,6/21/2023,0.5355
D60491B9-4479-4455-85B0-E09EF961FB6C,6/25/2021,0.704
7D235221-0549-4FCC-83C2-E974008DC1E4,8/2/2021,0.99
FB3187D8-FA72-4637-9D44-EF976632BE6E,8/15/2022,0.979
20FAB825-CD7A-48FE-A042-087270DB20E8,8/1/2021,0.9865
8AE850CF-070A-4C34-B1BF-2E747D30CDB4,8/29/2022,0.9875
66A5CA8E-F369-4A9A-9564-3B9CF2197D0D,7/8/2021,0.988
1EEEAC78-8675-4F97-819E-6990F6152300,7/12/2021,0.9675
944D2DB7-7D3D-450E-B374-7140257B53C1,7/2/2021,0.978
61B10162-1231-4737-8AEE-7DA824DF8AB2,5/21/2021,0.012
43686074-FDE5-44D4-8D61-84A9F67F369E,6/5/2021,0.3475
D30B4903-1566-4584-BF63-8900BDFE0C77,7/7/2021,0.994
E0E88773-A87C-4CDF-A2B6-90332580A632,6/29/2023,0.6435
A45739FC-D92D-47BB-8E63-B0CE5FF33D55,6/16/2022,0.117
F0DEAD00-9583-4D94-91DD-CFEF2766D16F,7/12/2022,0.8925
92321684-7992-4BF6-B26C-D7506D8AAE89,7/28/2022,0.992
7F9657E4-ACCB-4DFF-B987-E555D684246B,6/23/2023,0.183
1C42D854-8C1B-4EB5-ACEC-EC58B793EE42,6/3/2023,0.467
6DF31462-E0B4-4866-9D1E-F254D221EFBB,6/11/2021,0.405
9C1BE855-EF3A-4A3C-B489-0288DA864E82,7/25/2022,0.9905
46F94E4E-38DA-4ED4-AD26-0AF3A9A92221,9/7/2022,0.8265
7E277789-CE8E-43C5-BFFB-36FDEE3037D3,7/1/2022,0.2365
65AA44AA-03C3-4DEB-B295-38F6E57B72DE,7/20/2022,0.993
8170F2D9-899D-4A99-88D1-3E282CBBA3EE,6/1/2021,0.043
1166099E-71DF-4481-B190-51759FAD1248,8/19/2021,0.979
7D153141-15E8-4A70-9E5D-51DB2C8DA698,7/27/2021,0.985
B12B975F-3609-41EB-886B-6194CE0BE32E,7/15/2021,0.989
6E92D0F3-CF85-4D5E-8CC4-9ED2C8AADA86,6/1/2023,0.029
B0BBD08E-B3D4-4C09-AE8D-B2FF5DC257B5,8/29/2022,0.951
728A6703-A627-4C25-BBEE-B6A0D407F70B,9/10/2021,0.759
D4169045-2FE2-4A1A-8AC4-DA43EFAACA96,6/15/2021,0.247
BF2C8783-5439-48CA-AEFD-DB73D62AFEA4,7/3/2023,0.84
D60491B9-4479-4455-85B0-E09EF961FB6C,5/31/2021,0.007
548446ED-B43D-4200-8386-E6F4F2859DD6,6/8/2021,0.082
D8784695-564F-4BEA-AF4A-F9534370FBB0,7/19/2023,0.991
4D16F63A-94AB-461E-BCF8-10FE8D8A4D77,8/5/2021,0.978
0017DEF2-A2A6-4C10-B3B2-11D15F235F22,7/14/2021,0.997
B21B66B7-E7E5-4DA9-9093-33239C721026,6/20/2022,0.342
6F3E84C5-6D69-4288-ADE4-33AC40852908,9/9/2021,0.369
17D324DE-92A6-4D79-95CE-43764AA36FF8,8/16/2023,0.8535
E3D42CE7-0191-441E-B419-4700913C3831,6/1/2023,0
009591A3-91E9-409A-A6CE-4E74D0602713,7/7/2021,0.9365
5F01BD74-11BF-4DCC-AEEF-564E06605EB2,7/11/2022,0.884
657C9D96-59DC-4BD1-9C55-56DF0936B3E9,6/9/2023,0.195
8805EB29-ECC3-4D09-81AE-572ECBA6E099,6/14/2022,0.348
3CA50D36-268A-40EB-BC99-5D7C22CD2461,9/12/2021,0.3705
37256956-BE47-4B2C-935A-7EE6F05B076A,7/4/2022,0.83
C6B224B7-C627-4B23-92C6-80FB05055C42,5/28/2021,0.006
43686074-FDE5-44D4-8D61-84A9F67F369E,6/24/2021,0.968
0DF0B5E8-1D67-43E5-A16B-94ED8B723ECE,7/19/2021,0.992
33ECA5DA-4D8A-4414-A019-A01998CF087C,7/15/2023,0.99
1FED2C10-7627-4AB7-B7C0-A8C2276F06DA,6/20/2022,0.101
96250295-CCE7-433E-8D16-BD0B9516C3DD,7/14/2022,0.696
5B1751C6-533D-4A21-9B41-0C686ADA3E6F,8/17/2021,0.837
9FA22D81-02F9-4311-A429-16C526DE45A7,6/2/2021,0.065
31BF8702-295D-4FE1-9C3F-375FE1AD3C11,7/31/2022,0.99
AE512B3E-29E0-44ED-B357-5290703AF4A9,6/15/2023,0.0405
B85CE798-0868-452D-B74F-75C94F6E65A7,8/23/2021,0.942
7783778A-0F5F-4AB7-B087-80F340E715C0,7/26/2021,0.995
521220AF-8874-4A13-AF5C-990BB35A92F4,6/15/2022,0.1375
CBF9DD07-D67C-422E-B166-9B92A9FD697B,7/27/2021,0.991
94DD0DFD-730F-4E14-9ED7-A11954CC6990,6/7/2021,0.112
A3438D8E-2726-4825-B42F-A25F4D6BD3F4,6/21/2022,0.309
7170A867-D8BA-4166-AA05-D57D4B0EC176,7/12/2023,0.983
132719C2-BD9D-4D5F-87A4-E5A53081401A,7/6/2023,0.509
9077DD82-35F7-494B-AB84-36A91E0CFA31,7/9/2021,0.976
D50BD3E7-C423-4E8C-A7C3-74263C4D9C3E,8/16/2022,0.965
AC259749-6B46-4288-9372-77221DC7892F,7/5/2022,0.922
87D614C6-53A6-4619-BC70-79964933141D,7/19/2021,0.982
75032164-6A44-409C-8259-8A39366917DC,7/18/2022,0.679
A015FACA-E430-4482-92B3-AA52FDEF0EA4,7/28/2022,0.986
A2AA17CD-1971-4627-8B1B-AEE199FD4351,8/15/2023,0.9705
8B95D453-90A8-44F8-A652-B5F9112E3EC6,7/19/2023,0.989
2C90998B-CE3C-4B62-8AEA-C44D89B8C5A6,6/16/2021,0.286
00D2AD8C-C8FC-4C4C-9B24-C73F787E90DF,6/20/2022,0.136
D0CC2FB7-20C6-410B-BEFF-CB5D55B40EA5,7/3/2021,0.234
045BC57F-96B9-401A-A4DB-E6786F9FE2FB,7/25/2021,0.997
17875804-33AD-4B17-BD8A-1DF9D1CBAD66,8/25/2021,0.983
10C1893A-1E1B-476E-AE5C-27926EEC41EA,6/7/2021,0.2305
DF5AC926-F69B-4FBD-9DC9-2E97CE300BEF,7/25/2022,0.992
8E2368DB-3B6F-436E-B619-49B946AAF843,7/8/2022,0.8285
5B48F873-B988-4977-A097-4F154E4C6185,9/6/2022,0.805
5906D54C-AA86-4A1F-9555-54BFAF9381FF,8/2/2022,0.96
104F37BE-0495-4C35-A7FA-554D78BAD5D6,6/23/2021,0.193
1EEEAC78-8675-4F97-819E-6990F6152300,7/6/2021,0.9965
919617AB-1B2B-434D-85B9-9634D6B634AA,7/6/2022,0.924
F5727FCD-8537-4F3E-881C-A44466A292DF,7/30/2022,0.981
867424C5-04B7-4CFA-9B98-AA18929DD73E,9/2/2022,0.9105
2C90998B-CE3C-4B62-8AEA-C44D89B8C5A6,7/27/2021,0.979
CF0F496F-4BF2-4122-9123-E14C85B5036C,6/29/2022,0.334
597DE064-CDA9-4C16-A67A-F9C10314BAA1,7/12/2022,0.103
73428715-2EBC-491A-A910-1EEE14ABA1FE,8/9/2023,0.993
7CC63749-6E4E-446A-9FA4-4C3B00398216,7/24/2023,0.9545
A65C3221-D0AA-4301-8AF4-4C691A3C6AAB,6/11/2021,0.232
9859E384-7D0C-4669-BC18-52452C21CE3B,7/17/2023,0.992
7ADBB0D5-9A83-4DFF-AF1E-5BB8F18A097B,8/10/2021,0.968
896DB2C1-F335-4494-BFA1-953E6D7707CA,8/24/2022,0.683
7D9A5948-0FE1-4D8C-8D1A-9E40D0D581AC,7/26/2021,0.982
0ACEB26D-E7B0-47AA-AE03-BA263BB1C1DF,7/10/2023,0.941
45975165-D5BA-4980-B992-BC4E113A1E6B,7/11/2022,0.749
045BC57F-96B9-401A-A4DB-E6786F9FE2FB,7/29/2021,0.986
82E5F4E9-560E-4735-B284-0EB49DE01C6E,6/8/2021,0.2015
45601B32-E66B-48CB-816D-3464A5E3BD1D,7/6/2023,0.952
44112609-8695-46E4-BE1E-3B0D866FAB61,8/4/2021,0.993
7C40E693-2F30-45E4-8C6C-406972C995E1,8/29/2022,0.97
104F37BE-0495-4C35-A7FA-554D78BAD5D6,7/5/2021,0.513
B12B975F-3609-41EB-886B-6194CE0BE32E,7/22/2021,0.985
BF7EE6D5-C7FB-41AA-B0F5-797302F78BFF,8/15/2023,0.957
CDF84C91-1548-41B7-A327-8C43B5599EAC,7/2/2021,0.977
9A7A9EDA-4F41-433A-8BB5-9A172DAF6524,6/2/2021,0.0555
8AFEE3E0-5AF5-41B2-B86F-B9DB01435A6E,6/19/2023,0.608
5B34FEF0-B6DB-4921-86D8-F656E95762A0,6/23/2022,0.502
0017DEF2-A2A6-4C10-B3B2-11D15F235F22,6/15/2021,0.339
7C982FCC-CAAE-425F-BB43-54E7D2D38910,7/15/2021,0.978
C55109CB-1C68-4768-85AA-693D7CA59486,7/15/2023,0.984
37179338-6019-49AD-B0B7-795CD650EC6E,8/17/2022,0.998
752B9F46-DE01-4231-B9D9-81D6AEDC4814,6/10/2021,0.186
578AF485-54E4-4AC4-8597-B81150AFEC95,7/16/2021,0.989
480E5154-9520-4745-A994-ECB76A609FF9,6/28/2021,0.583
747A9884-A795-427C-A33D-0B99AD0FACC1,7/19/2022,0.977
FCCFA795-BF3A-46AB-8204-1D29995AFCFA,7/10/2021,0.436
ACB7560C-2838-4C1D-9569-23198E621EC8,6/28/2021,0.823
2A62A5AB-2AD1-4F50-863A-5121210B01F8,8/17/2023,0.94
668FD5DD-7E6F-40C6-A06F-5A559596833E,7/10/2023,0.876
67FB7E81-366C-4488-8D52-685E36A54B98,8/18/2021,0.991
12641F47-A0C6-4F3C-87F3-72A68ED616AE,6/15/2023,0.102
5DD1ACED-1839-46E4-B1E7-7D995AD8678F,7/5/2021,0.941
C34939AC-3ACB-46E5-BC50-89553B0D22D2,8/18/2021,0.987
E190AC08-FA9F-41FF-84F5-A29DE45323DB,6/26/2023,0.967
CE7F85C6-6E68-4DAF-80D6-D470EF7B6259,9/6/2022,0.892
18E7837C-C55A-460A-85CE-EC6F450E1C25,6/20/2022,0.091
6A0D2B4E-F01D-411A-9308-000C822DA7CA,6/29/2023,0.893
F3E25362-C31A-4116-9332-2133E0232B07,6/8/2022,0.01
33E4A8FC-E942-4101-8019-236FE1C2457A,6/13/2022,0.159
D451EAC2-BDEA-4908-AEC4-26BF275B0EAD,8/9/2021,0.975
65AA44AA-03C3-4DEB-B295-38F6E57B72DE,7/8/2022,0.996
8606572A-931E-43AA-94A8-59F97C4F0579,7/20/2021,0.988
624B4B10-4667-40A4-B320-80889DB351A7,5/25/2021,0.024
910C6C9E-A85A-46BA-86B8-C19ACE3620C9,9/5/2022,0.6255
0F67CDB2-EFCD-47B1-A04B-D725CDAF76F9,7/12/2021,0.98
DA51D32C-B619-44A1-9B6E-F941CEB7E9AB,7/8/2022,0.981
E3AF8649-A470-45EA-B359-FCA8302574C8,6/7/2023,0.13
9A09EF78-3A8F-4093-820F-0154D855E1DA,7/30/2021,0.989
1B4BDE28-91D2-435B-9BB9-1C2E851AECEA,7/19/2021,0.984
B7A8DAD1-68A7-43D0-9407-37F521565009,5/21/2023,0
C02A084C-0F7A-4CCC-A653-3EF335E0F27B,8/15/2023,0.927
93C5B8D7-5E32-43AC-9300-4B7236A3D8A7,6/15/2021,0.441
DE14C0E0-9281-4BE7-BC79-722B0F4BFE20,6/16/2022,0.0285
752B9F46-DE01-4231-B9D9-81D6AEDC4814,9/8/2021,0.856
E34EC569-F89F-46EB-9736-9A56D1FA82BE,7/1/2022,0.544
65CEC24F-CBA1-4B8E-AAE1-A21E79BF9BD6,6/14/2023,0.167
74F617A4-0F3C-45C0-8CF7-A2308BB30593,7/23/2021,0.998
CC126350-63D7-4413-8C04-BBC6A6669A86,7/13/2023,0.989
1B09AD2F-53EE-46E7-BEF4-CE22DB367CFE,7/20/2022,0.992
D4169045-2FE2-4A1A-8AC4-DA43EFAACA96,8/18/2021,0.994
DF8CF472-2691-4F66-9FD8-F17006041BB8,7/26/2022,0.996
108F9567-C559-4CEC-B638-F20F0114FE15,6/9/2021,0.237
70106EFC-FFF1-4588-9C39-F5895E49DBD2,6/22/2023,0.9385
80B6D74F-0A0B-41EF-96B4-580A4056435E,7/27/2021,0.989
78E5D7D1-AACE-46A4-A336-5C4E33F70497,7/27/2022,0.991
BB60EAE2-3079-4EE0-9CD4-9C9742B3C136,7/17/2023,0.9845
02C0C7F5-1A11-4A1B-B759-9D801852CD33,6/27/2023,0.622
