LabSampleID,StoredCropID,PlantedCropID,StorageBinID,SampleHarvestDate,ProcessedDate,SpecificGravity,StemEndSucroseGramPerLiter,StemEndGlucoseGramPerLiter,SampleCollectionMethodID
20172B94-BE9D-4540-91D9-00016043445C,,C3AD5E7F-82BD-4F23-A266-AEDF306CC775,,8/23/2023,8/23/2023,,0.42,0.29,1
599BEEFA-ECD6-4F6C-8DA1-0031CF1CDEA5,,28412FEC-CD1E-47EE-86C1-B7DAED90B6DC,,8/21/2023,8/21/2023,,2.59,1.34,1
4F1AE8BD-2488-4AE6-9113-003A78E2094B,7C573507-94B3-43E2-B922-D15E9998CFE7,3DE63D3E-389A-416C-8F9F-81219568ABB6,009A2D74-03C2-4F29-ADA1-1FD06A32C9BB,12/13/2022,12/13/2022,1.092,0.34,0.74,3
B688097F-F381-45BA-979C-00455C79C5EA,,F671E810-0A39-401B-8B97-EA9CF76C6912,,8/11/2022,8/11/2022,,0.51,0.33,1
70E08DF0-A114-44C1-8798-0048267EC6A6,4722645D-2ECB-419E-83B1-5FCF8B359113,42A42E63-9A07-46E9-B505-BDB7F16FEA4B,1C96E18A-82CB-4D18-9AD0-F30AD5E39AE4,2/16/2023,2/16/2023,1.095,0.94,1.13,3
BC65F81E-4B5E-4707-AA92-004ECFE78035,,421686FD-6A8F-472A-8B47-3947F3E630B9,,8/10/2022,8/10/2022,,1.21,0.3,1
CB680690-396A-4C71-ADA6-00523D0EFE45,5F97C77E-21E6-4D72-B2AE-BEA4CC94C1BF,8F16E4FB-AD6C-4499-9E25-6DE48686D638,07388574-824F-43A9-90F5-15D6AD36B694,12/14/2021,12/14/2021,1.078,0.26,2.17,3
608A2EA3-1B31-41E7-9ADB-00538BF98058,F9D9A452-A1B9-4928-A2E5-E7BBFEDC989F,2530A9B6-69F4-49E4-9A17-9853BF949A49,ED19D11D-62B6-48B4-9A0F-7C21A91B45D8,4/21/2023,4/21/2023,1.081,0.38,2.37,3
43026BDA-5C41-4680-99C3-005408CF11F7,372A8E49-FA84-40BC-B56E-C3B021E40FCF,5AD1263F-BF99-4C93-834F-182879BD83EB,5989BAA3-B685-4385-A591-7A0E7343EB3C,11/21/2022,11/21/2022,1.086,0.42,1.86,3
528F7DBA-3A64-489B-80A4-00577D28D019,4426942A-7797-460F-82BF-9090BAEA3684,B140650A-72CA-4635-AA3E-38068341331D,7EE955B1-E87B-41A2-8653-4AEBF683AA85,8/24/2021,8/24/2021,1.081,0.36,0.14,1
1F916285-12FD-49BC-98AE-0065A6C22A1E,,8FFA8FC3-DFB9-4071-A042-76C7F32EAE75,,8/11/2022,8/11/2022,,0.72,0.48,1
7B666170-B8DA-4347-B554-006B358E2A7A,6D57B20B-B9BC-457C-8C04-0764A950CFBF,B9BAC66E-D374-42BD-AD2D-E56167B3F330,7AA7F9FC-A0F1-4E0E-ABEB-79F33EFB7FDC,10/3/2022,10/3/2022,1.106,1.27,1.84,2
4566BF63-6833-4A27-ADE0-00734010D7F5,549BEC3D-3175-497D-8DB8-00AF71930732,C0FB39ED-FCFF-426F-8F7B-819A6F311323,7AB433AC-A76D-4162-BCE7-AD20723AE24C,9/13/2021,10/29/2021,1.085,0.46,0.85,3
6CB35CCF-98A9-4039-9E6A-007F7D3E4EF8,089AFE64-E3CC-43C1-AD00-9F00F3D36ABA,999E3CE1-0B84-44AF-90EF-CCCD3B6BECE7,833F6456-5B2C-4BA3-8DAB-2BEA1EB57579,12/8/2021,12/8/2021,1.082,0.51,2.26,3
EFAEE605-87CB-491A-BB6C-008BCC5D844E,64CBDA52-6FD5-455A-8BFB-C2F024DF46FF,176F1D7D-4729-48A9-8246-EAE618449503,53107F3E-4308-489A-B298-80D55583C4CB,11/18/2022,11/18/2022,1.078,0.19,1.27,3
726F72B6-22B2-4B32-9E7C-0091DAFD9C99,9A4B0062-5217-49E4-A691-7017A628006F,255B5465-1DD4-4713-A3F8-D5324FFFD19D,EE9CC013-E44C-4309-BC72-258A43D0949F,9/15/2021,10/4/2021,1.074,0,0,3
7879AE05-7FE3-49E1-A992-00B8AF9B472A,EFD44212-DF2D-4282-8841-837B97680BB0,F81B9798-98F7-4634-9422-D462490E6F9E,850202B5-4A09-4ADD-B19A-971AE893CA86,10/4/2022,10/4/2022,1.081,0.32,1.36,2
518A2B15-467C-4561-9EB5-00B8F31AA1A8,A70AB75F-57E9-41F9-855F-903664B91A2E,8170F2D9-899D-4A99-88D1-3E282CBBA3EE,7AA7F9FC-A0F1-4E0E-ABEB-79F33EFB7FDC,9/21/2021,9/23/2021,1.086,0.54,0.39,2
001E6B0A-CD1F-4495-B241-00B96AEFDA03,362B4840-CF7A-4CCC-94F1-D4FC673ADE5E,C7EA400F-B064-4A78-B40A-A884E82540ED,CA589255-21D9-41A2-B6EB-B3A6B502F4CF,10/8/2022,10/19/2022,1.08,0.28,1.95,3
FB63E76B-494A-4E53-A2B5-00C0F2140167,64CBDA52-6FD5-455A-8BFB-C2F024DF46FF,176F1D7D-4729-48A9-8246-EAE618449503,53107F3E-4308-489A-B298-80D55583C4CB,10/3/2022,10/3/2022,1.076,0.42,2.31,2
E129A9E7-9C06-4692-8079-00CCC779B1B4,700581E4-F739-4F5A-8C42-955100DC67EF,B39523A5-8840-4831-9241-D62C74F405C6,E086BB5B-1608-46B2-86A1-8A7ADA1AD99D,9/21/2021,9/22/2021,1.085,0.36,0.49,2
88A85DE1-E9E9-4E4C-93BE-00CF3A308BFB,0143B862-02D7-424F-9745-CD6E34159890,6D7ADD5C-3EC4-461B-9755-8F1456FC04BF,4AA523AA-163E-460A-BA6B-20C2D25E057D,9/19/2023,9/19/2023,1.076,0.57,0.7,2
B4A93F29-7B16-4A8D-AE53-00EE0E5620A2,F97BF9E7-90F8-4FB6-80D6-278D519EDDD5,CE7F85C6-6E68-4DAF-80D6-D470EF7B6259,66FF1293-3A0D-495B-8AF7-DF66BB7C6C48,10/21/2022,10/21/2022,1.076,0.15,2.33,3
E6DC76A3-D055-46F7-82BB-00FD06AC9260,A755C626-8355-4BBC-A541-EF06DC4DA9AE,B51E6389-9C7F-4539-BE77-47DA00C83BD7,CEEDEE6A-8397-46FC-BCDD-4867A4EBB304,8/24/2021,8/24/2021,1.089,0.3,0.14,1
6778C14E-9F10-4F9D-9F7A-01002067F2F2,00F74D7B-8139-4FB8-8C18-CD3A45FBA033,86119D36-9A61-433E-9FF6-F118DF185E09,7F20DBB5-6DF0-43EF-A1EF-7F866C64E166,1/20/2022,1/20/2022,1.081,0.26,2.77,3
4E208C7D-6019-4A85-955B-0106FF6678E4,2C242583-75EB-4C95-98FC-3386F58FE6CB,D23767EC-9273-4703-AFBC-27E96340B935,4AA523AA-163E-460A-BA6B-20C2D25E057D,11/14/2022,11/14/2022,1.094,0.58,0.99,3
72667E66-5EAA-439F-857F-010784446671,DA078A46-B9F0-40CB-92D7-1E8528C6707C,5B1751C6-533D-4A21-9B41-0C686ADA3E6F,90EE10AE-441F-4B26-913F-AA938EDA9597,9/8/2021,9/22/2021,1.083,0.51,0.62,3
5D2A16AB-8A08-4F40-B437-011A148B7B5E,66D099D0-ACEE-4641-8BC7-AC1CD0DC0348,D5313EA5-3E7B-47F9-A587-9741E9D9EFBD,D972369C-3F07-40F6-87CA-57A58041C0E4,11/19/2021,11/19/2021,1.081,0,0,3
6426328E-C007-4D63-8DBF-01342D008EEB,B76C330D-BFE1-40C4-BB2E-12FD413941AE,7D153141-15E8-4A70-9E5D-51DB2C8DA698,ED19D11D-62B6-48B4-9A0F-7C21A91B45D8,7/14/2022,7/14/2022,,0.52,1.94,3
