Idx,WeatherLocationID,Date,ObservationType,Value
0,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-01,MaxSurfaceTempF,45.984
1,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-02,MaxSurfaceTempF,61.196
2,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-03,MaxSurfaceTempF,68.27
3,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-04,MaxSurfaceTempF,69.98
4,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-05,MaxSurfaceTempF,74.264
5,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-06,MaxSurfaceTempF,55.706
6,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-07,MaxSurfaceTempF,45.509
7,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-08,MaxSurfaceTempF,46.067
8,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-09,MaxSurfaceTempF,44.348
9,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-10,MaxSurfaceTempF,53.636
10,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-11,MaxSurfaceTempF,53.978
11,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-12,MaxSurfaceTempF,41.319
12,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-13,MaxSurfaceTempF,30.47
13,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-14,MaxSurfaceTempF,35.811
14,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-15,MaxSurfaceTempF,46.742
15,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-16,MaxSurfaceTempF,55.292
16,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-17,MaxSurfaceTempF,54.284
17,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-18,MaxSurfaceTempF,55.454
18,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-19,MaxSurfaceTempF,37.753
19,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-20,MaxSurfaceTempF,37.326
20,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-21,MaxSurfaceTempF,44.67
21,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-22,MaxSurfaceTempF,61.772
22,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-23,MaxSurfaceTempF,46.976
23,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-24,MaxSurfaceTempF,44.283
24,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-25,MaxSurfaceTempF,44.665
25,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-26,MaxSurfaceTempF,44.092
26,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-27,MaxSurfaceTempF,58.406
27,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-28,MaxSurfaceTempF,66.056
28,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-29,MaxSurfaceTempF,65.138
29,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-04-30,MaxSurfaceTempF,58.01
30,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-01,MaxSurfaceTempF,84.614
31,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-02,MaxSurfaceTempF,74.264
32,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-03,MaxSurfaceTempF,57.848
33,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-04,MaxSurfaceTempF,52.898
34,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-05,MaxSurfaceTempF,55.868
35,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-06,MaxSurfaceTempF,61.7
36,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-07,MaxSurfaceTempF,54.302
37,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-08,MaxSurfaceTempF,58.64
38,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-09,MaxSurfaceTempF,58.334
39,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-10,MaxSurfaceTempF,52.574
40,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-11,MaxSurfaceTempF,60.566
41,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-12,MaxSurfaceTempF,67.784
42,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-13,MaxSurfaceTempF,69.836
43,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-14,MaxSurfaceTempF,59.306
44,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-15,MaxSurfaceTempF,71.24
45,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-16,MaxSurfaceTempF,78.044
46,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-17,MaxSurfaceTempF,80.438
47,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-18,MaxSurfaceTempF,76.424
48,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-19,MaxSurfaceTempF,76.316
49,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-20,MaxSurfaceTempF,79.52
50,09BB28C6-0770-4169-B9B6-DE29B4BD4D9A,2021-05-21,MaxSurfaceTempF,83.876
